Region,Material ID,Material Category,Material Subtype,Per Unit,kg CO2e,EF Source,EF Type,Type Rationale,Source Dataset Name,Source UUID / Link
Rest-of-World (RoW),MAT-Wood-0001,Wood,Oak,kg,0.04,Ecoinvent,Direct,,"cleft timber, measured as dry mass",https://ecoquery.ecoinvent.org/3.11/apos/dataset/10867/impact_assessment
Germany (DE),MAT-Wood-0002,Wood,Oak,kg,0.04,Ecoinvent,Direct,,"cleft timber, measured as dry mass",https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/10867/documentation
Global (GLO),MAT-Wood-0003,Wood,Maple,kg,0.30,Ecoinvent,Average,"AI could not find a specific or similar material, so an average emission factor for the broader category has been used to calculate emissions.",,
Global (GLO),MAT-Wood-0004,Wood,Cherry,kg,0.30,Ecoinvent,Average,"AI could not find a specific or similar material, so an average emission factor for the broader category has been used to calculate emissions.",,
Global (GLO),MAT-Wood-0005,Wood,Walnut,kg,0.30,Ecoinvent,Average,"AI could not find a specific or similar material, so an average emission factor for the broader category has been used to calculate emissions.",,
Rest-of-World (RoW),MAT-Wood-0006,Wood,Beech,kg,0.04,Ecoinvent,Direct,,"cleft timber, measured as dry mass",https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/10723/documentation
Germany (DE),MAT-Wood-0007,Wood,Beech,kg,0.04,Ecoinvent,Direct,,"cleft timber, measured as dry mass",https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/12077/impact_assessment
Global (GLO),MAT-Wood-0008,Wood,Mahogany,kg,0.25,Ecoinvent,Average,"AI could not find a specific or similar material, so an average emission factor for the broader category has been used to calculate emissions.",,
Rest-of-World (RoW),MAT-Wood-0009,Wood,Pine,kg,0.04,Ecoinvent,Direct,,"softwood forestry, pine, sustainable forest management-cleft timber, measured as dry mass",https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/11560/documentation
Germany (DE),MAT-Wood-0010,Wood,Pine,kg,0.04,Ecoinvent,Direct,,"softwood forestry, pine, sustainable forest management-cleft timber, measured as dry mass",https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/10618/documentation
Sweden (SE),MAT-Wood-0011,Wood,Pine,kg,0.04,Ecoinvent,Direct,,"softwood forestry, pine, sustainable forest management-cleft timber, measured as dry mass",https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/11724/documentation
Rest-of-World (RoW),MAT-Wood-0012,Wood,Birch,kg,0.03,Ecoinvent,Direct,,"hardwood forestry, birch, sustainable forest management-cleft timber, measured as dry mass",https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/10725/documentation
Sweden (SE),MAT-Wood-0013,Wood,Birch,kg,0.03,Ecoinvent,Direct,,"hardwood forestry, birch, sustainable forest management-cleft timber, measured as dry mass",https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/11808/documentation
Global (GLO),MAT-Wood-0014,Wood,Teak,kg,0.30,Ecoinvent,Average,"AI could not find a specific or similar material, so an average emission factor for the broader category has been used to calculate emissions.",,
Global (GLO),MAT-Wood-0015,Wood,Ash,kg,0.30,Ecoinvent,Average,"AI could not find a specific or similar material, so an average emission factor for the broader category has been used to calculate emissions.",,
Global (GLO),MAT-Wood-0016,Wood,Alder,kg,0.30,Ecoinvent,Average,"AI could not find a specific or similar material, so an average emission factor for the broader category has been used to calculate emissions.",,
Global (GLO),MAT-Wood-0017,Wood,Rubberwood,kg,0.30,Ecoinvent,Average,"AI could not find a specific or similar material, so an average emission factor for the broader category has been used to calculate emissions.",,
Global (GLO),MAT-Wood-0018,Wood,Rosewood,kg,0.30,Ecoinvent,Average,"AI could not find a specific or similar material, so an average emission factor for the broader category has been used to calculate emissions.",,
Global (GLO),MAT-Wood-0019,Wood,Poplar,kg,0.30,Ecoinvent,Average,"AI could not find a specific or similar material, so an average emission factor for the broader category has been used to calculate emissions.",,
