Material,Process Step,Process Description,Detailed Explanation,Assumed Product Weight (kg),Rationale for Assumed Product Weight,Machine Power (kW),Source / Reference,Tool Use Time (hr)/enegy consumption propotion,Source / Reference.1,Energy per entire Product/Process (kWh) [If applicable],Calculation Summary,Calculated Energy per kg (kWh/kg),Final Estimate Used (kWh/kg),Notes,,,,
Wood,Cutting / CNC Machining,"CNC routers are used in commercial wood furniture production to perform precision cutting, drilling, and shaping operations on panels and components.","Based on the study by Melo & Disconzi (2024), a CNC machining center used in dresser production consumed 27.4 kW during operation. The average runtime per product was 0.84 hours (50 minutes). This reflects actual data from a working furniture factory. The total energy use per product was ~23 kWh. Assuming a 25 kg product weight, this results in 0.92 kWh/kg.",25,"In the study, the reference product (a wooden dresser) weighed 25 kg. This matches typical furniture items with multiple cut parts.",27.4,https://doi.org/10.1590/1678-4324-2024230966,57.00%,https://doi.org/10.1590/1678-4324-2024230966,1.5968,1.5968*57.00%,0.910176,0.910176,The data is drawn directly from measured factory values for CNC operations in dresser manufacturing. This is suitable for commercial-scale wood furniture.,,Geography,"Electricity Emission Factor, kg CO2eq/kWh",Reference
Wood,Planing / Shaping,"his process involves smoothing and flattening wood surfaces and shaping them into desired profiles using planers, moulders, or jointers. It ensures consistent thickness and prepares components for precise assembly.","Based on the study by Melo & Disconzi (2024), the production of a wooden (MDF) dresser consumed an average of 39.92 kWh of energy during operation, as determined through process-based energy consumption analysis (Rfer: Tool Use Time (hr)/enegy consumption propotion).",25,"In the study, the reference product (a wooden dresser) weighed 25 kg. This matches typical furniture items with multiple cut parts.",NA,https://doi.org/10.1590/1678-4324-2024230967,32.00%,https://doi.org/10.1590/1678-4324-2024230967,1.5968,1.5968*32%,0.510976,0.510976,This data measured directly from a wooden dresser manufacturing process. This is suitable for commercial-scale wood furniture.,,China,0.84,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/13295/documentation
Wood,Drilling / Routing,"Drilling and routing are used to create holes, slots, or decorative patterns in wood. These operations are crucial for joinery (like dowels or screws) and for aesthetic or functional detailing in furniture components.","Based on the study by Melo & Disconzi (2024), the production of a wooden (MDF) dresser consumed an average of 39.92 kWh of energy during operation, as determined through process-based energy consumption analysis (Rfer: Tool Use Time (hr)/enegy consumption propotion).",25,"In the study, the reference product (a wooden dresser) weighed 25 kg. This matches typical furniture items with multiple cut parts.",NA,https://doi.org/10.1590/1678-4324-2024230968,6.00%,https://doi.org/10.1590/1678-4324-2024230968,1.5968,1.5968*6%,0.095808,0.095808,This data measured directly from a wooden dresser manufacturing process. This is suitable for commercial-scale wood furniture.,,Vietnam,0.63,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/16350/impact_assessment
Wood,Sanding,Sanding smooths the wood surface and removes rough edges or imperfections using abrasive belts or discs. It is essential for surface preparation before coating to ensure good finish quality and paint adhesion.,"Based on the study by Melo & Disconzi (2024), the production of a wooden (MDF) dresser consumed an average of 39.92 kWh of energy during operation, as determined through process-based energy consumption analysis (Rfer: Tool Use Time (hr)/enegy consumption propotion).",25,"In the study, the reference product (a wooden dresser) weighed 25 kg. This matches typical furniture items with multiple cut parts.",NA,https://doi.org/10.1590/1678-4324-2024230969,2.33%,https://doi.org/10.1590/1678-4324-2024230969,1.5968,1.5968*2.33%,0.03720544,0.03720544,This data measured directly from a wooden dresser manufacturing process. This is suitable for commercial-scale wood furniture.,,Global,0.68,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/13042/documentation
Wood,Surface Coating,"In this step, protective or decorative finishes such as paint, varnish, or lacquer are applied to the wood surface. Coating improves durability, enhances appearance, and protects against moisture and wear.","Referred to the wood preservation, spray tunnel/deluging, water-based preservative, indoor use, dry",1,Ecoinvent dataset per 1 kg,NA,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/11680/exchanges,NA,https://doi.org/10.1590/1678-4324-2024230970,NA,0.005374639322999274+0.0002562199463302842+0.0011203520789996224+0.019319184066014513+0.3779358878074264+0.12512605845145874,0.5291323417,0.5291323417,"Datasets/ wood preservation, spray tunnel/deluging, water-based preservative, indoor use, dry/wood preservation, spray tunnel/deluging, water-based preservative, indoor use, dry",,,,
Wood,Assembly,"Final furniture products are assembled by joining individual components using adhesives, screws, nails, or mechanical fasteners. This step combines all processed parts into the complete functional item.","Based on the study by Melo & Disconzi (2024), the production of a wooden (MDF) dresser consumed an average of 39.92 kWh of energy during operation, as determined through process-based energy consumption analysis (Rfer: Tool Use Time (hr)/enegy consumption propotion).",25,"In the study, the reference product (a wooden dresser) weighed 25 kg. This matches typical furniture items with multiple cut parts.",NA,https://doi.org/10.1590/1678-4324-2024230971,1.66%,https://doi.org/10.1590/1678-4324-2024230971,1.5968,1.5968*1.66%,0.02650688,0.02650688,This data measured directly from a wooden dresser manufacturing process. This is suitable for commercial-scale wood furniture.,,,,
Metal,Forming,"Forming processes such as stamping (for steel sheets) and tube bending (for aluminum) are used to shape metal components for chair legs, table frames, and structural supports. These are high-throughput, non-cutting deformation operations essential in furniture manufacturing.","Based on Seow & Rahimifard (2011), mechanical stamping presses (rated ~20–30 kW) and CNC tube benders (rated ~5–10 kW) were studied under actual factory conditions. For steel stamping, each 1–2 kg component consumed ~0.1–0.3 kWh. For aluminum tube bending, each part used ~0.05–0.1 kWh. Using an assumed average product weight of 15 kg (e.g., chair base or frame), and aligning with measured per-unit values, the typical energy per product is estimated at 2.25 kWh (midpoint). This results in 0.15 kWh/kg.",15,"Medium-sized metal products used in furniture and fit-outs, such as table legs, frames, or tube supports, commonly weigh 10–20 kg. 15 kg represents a balanced average across steel and aluminum component types.",Steel stamping: ~25 kW peak; Aluminum tube bending: ~5–10 kW,https://doi.org/10.1016/j.cirpj.2011.02.001,Steel: ~0.0015 hr (5 sec); Aluminum: ~0.008 hr (30 sec) per part,https://doi.org/10.1016/j.cirpj.2011.02.001,2.25,0.15 kWh/kg × 15 kg = 2.25 kWh,0.15,0.15,"Based on real-world energy use from stamping presses and tube benders in industrial manufacturing. Covers both steel and aluminum commonly used in furniture frames. Power, time, and energy figures sourced from direct monitoring and published study (CIRP, 2011).",,,,
Metal,Machining,"Machining includes material removal processes such as milling, turning, and drilling. These operations are used to create slots, bores, and precision fits in components such as brackets, legs, and connectors for furniture and fit-outs.","Kara & Li (2011) measured energy use on industrial CNC machines. Idle power is ~5–6 kW, while active cutting rises to 8–12 kW. Tool engagement per part was ~0.15 hr on average. For steel, specific energy use is ~4 kWh/kg; for aluminum, ~1.5 kWh/kg. With a 1 kg part (e.g., steel bracket or frame joint), total energy use is ~4 kWh per steel part or ~1.5 kWh per aluminum part. We use the midpoint for mixed-metal parts.",1,"Typical small hardware part (e.g., bracket, connector) in furniture weighs ~1 kg. For milling or turning of each part, this is a representative input size.",Steel: ~8–12 kW; Aluminum: ~5–8 kW,https://doi.org/10.1016/j.cirp.2011.03.018,0.15,https://doi.org/10.1016/j.cirp.2011.03.018,2.75,Steel: 4 × 1 kg = 4 kWh; Aluminum: 1.5 × 1 kg = 1.5 kWh,2.75,2.75,"Based on detailed empirical energy mapping of CNC turning and milling operations for both steel and aluminum. Reflects typical tooling, machine power, and part weight for furniture hardware.",,,,
Metal,Joining,"Joining via welding is used to assemble tubular or sheet metal structures in chairs, tables, and shelving units. GMAW (MIG) is commonly used for high-throughput furniture production.","Firouzdor & Kouadri (2017) found that GMAW consumes ~0.4–0.8 kWh per meter of weld (depending on wire speed, material, and voltage). Furniture frames typically require 2–3 meters of weld. Therefore, per product energy is ~1.2–2.4 kWh. With a typical metal frame weight of 12 kg, this results in 0.1–0.2 kWh/kg. The midpoint (0.15 kWh/kg) is used.",12,"Represents average weight of welded metal structures (e.g., stool frames, café tables).",4–6,https://link.springer.com/article/10.1007/s00170-017-9996-7,0.3–0.6,https://link.springer.com/article/10.1007/s00170-017-9996-7,1.8,0.6 kWh/m × 3 m = 1.8 kWh,0.15,0.15,Values reflect energy use from real welding trials on steel and aluminum. GMAW is widely used in furniture and fit-out manufacturing for joining tubular frames.,,,,
Metal,Heat Treatment,,,,,,,,,,,,,,,,,
