GMC Level 1,GMC Level 2,GMC Level 3,GMC Level 4
Audiovisual,"Camera, video camera and binoculars",Accessoires appareil photo et caméscope,Accessoires pour appareil photo et vidéo
Audiovisual,Projection and video projection equipment,Video projector peripheral devices,Kit de déport vidéoprojecteur
Audiovisual,Projection and video projection equipment,Video projector peripheral devices,Lampe pour vidéoprojecteur
Audiovisual,Projection and video projection equipment,Video projector peripheral devices,Objectif vidéoprojecteur
Audiovisual,Projection and video projection equipment,Video projector peripheral devices,Extension de garantie pour vidéoprojecteur
Audiovisual,Projection and video projection equipment,Whiteboard video projector,Prestation de formation pour affichage dynamique
Audiovisual,Projection and video projection equipment,Whiteboard video projector,Prestation montage/installation pour écran de projection
Audiovisual,Projection and video projection equipment,Vidéoprojecteur,Vidéoprojecteur
Audiovisual,Professional sound and recording equipment,Accessories for microphone and sound system,Accessoires microphone
Audiovisual,Professional sound and recording equipment,Accessories for microphone and sound system,Accessoires sonorisation
Audiovisual,Professional sound and recording equipment,Amplificateur,Amplificateur
Audiovisual,Professional sound and recording equipment,Audioguide,Audioguide
Audiovisual,Professional sound and recording equipment,Enceinte passive,Enceinte passive
Audiovisual,Professional sound and recording equipment,Platine et lecteur,Platine et lecteur
Audiovisual,Professional sound and recording equipment,Mobile sound system,Combiné de sonorisation et accessoires
Audiovisual,Professional sound and recording equipment,Mobile sound system,Pack sonorisation et système sono portable
Audiovisual,Professional sound and recording equipment,Table de mixage et mélangeur,Table de mixage et mélangeur
Audiovisual,Professional sound and recording equipment,Amplificateur et mélangeur 100 volts,Amplificateur et mélangeur 100 volts
Audiovisual,Professional sound and recording equipment,"Enceinte, haut-parleur et projecteur de son","Enceinte, haut-parleur et projecteur de son"
Audiovisual,Audio and Hi-Fi equipment,Amplificateur Hi-Fi,Amplificateur Hi-Fi
Audiovisual,Audio and Hi-Fi equipment,"Câble, cordon et adaptateur","Câble, cordon et adaptateur"
Audiovisual,Audio and Hi-Fi equipment,Dictaphone et enregistreur audio,Dictaphone et enregistreur vocal
Audiovisual,Audio and Hi-Fi equipment,Dictaphone et enregistreur audio,Enregistreur audio
Audiovisual,Audio and Hi-Fi equipment,Hi-Fi and Bluetooth speaker,Enceinte Bluetooth et station d'accueil
Audiovisual,Audio and Hi-Fi equipment,Hi-Fi and Bluetooth speaker,Enceinte Hi-Fi
Audiovisual,Audio and Hi-Fi equipment,Mini-chaîne,Mini-chaîne
Audiovisual,"Television, DVD and Blu-ray player",TV bracket,Support mobile écran et téléviseur
Audiovisual,"Television, DVD and Blu-ray player",TV bracket,Support mural/plafond écran et téléviseur
Catering,Food,Confectionery and chocolate,Confectionery and chocolate
Catering,Food,Cookie,Cookie
Catering,Food,Cracker,Cracker
Catering,Food,Coffee,Coffee
Catering,Food,Tea and herbal tea,Tea and herbal tea
Catering,Food,Soup,Soup
Catering,Food,Hot chocolate,Hot chocolate
Catering,Food,Sugar and coffee stirrer,Sugar and coffee stirrer
Catering,Food,Water,Water
Catering,Food,"Fizzy drink, iced tea and fruit juice","Fizzy drink, iced tea and fruit juice"
Catering,Food,Jam,Jam
Catering,Food,Condiment,Condiment
Catering,Laundry room,Irons and steamers,Irons and steamers
Catering,Laundry room,Washing machine,Washing machine
Catering,Laundry room,Dryer,Dryer
Catering,Laundry room,Washing machines and tumble dryers accessories,Washing machines and tumble dryers accessories
Catering,Laundry room,Sewing machine,Sewing machine
Catering,Tableware,Professional tableware for catering,Dishes
Catering,Tableware,Professional tableware for catering,Plate
Catering,Tableware,Professional tableware for catering,Ergonomic and child-friendly crockery
Catering,Tableware,Professional tableware for catering,Cut
Catering,Tableware,Professional tableware for catering,Cutlery
Catering,Tableware,Professional tableware for catering,Glassware and verrine
Catering,Tableware,Professional tableware for catering,Child's feeding bottle and crockery
Catering,Tableware,Professional tableware for catering,Flask
Catering,Tableware,Professional tableware for catering,Cup and mug
Catering,Tableware,Professional tableware for catering,Bowl
Catering,Tableware,Agencement et décoration,Claustra de restauration
Catering,Tableware,Agencement et décoration,Store et rideau
Catering,Tableware,Disposable tableware for professionals,Disposable plate
Catering,Tableware,Disposable tableware for professionals,Beaker
Catering,Tableware,Disposable tableware for professionals,Disposable cutlery
Catering,Tableware,Disposable tableware for professionals,Vaisselle de table
Catering,Tableware,Disposable tableware for professionals,Coupe
Catering,Tableware,Table and kitchen linen,Tablecloth
Catering,Tableware,Table and kitchen linen,Table and kitchen linen
Catering,Tableware,Table and kitchen linen,Napkin
Catering,Tableware,Menu and signage,Menu and signage
Catering,Tableware,Table accessories,Corkscrew and bottle opener
Catering,Tableware,Table accessories,Small table accessories
Catering,Tableware,Reusable tableware for professionals,Reusable tableware for professionals
Catering,Cookware,Dish for a specific use,Dish for a specific use
Catering,Cookware,Lid and accessories,Lid and accessories
Catering,Cookware,"Cooking pot, casserole pot and stew pot","Cooking pot, casserole pot and stew pot"
Catering,Cookware,Frying pan,Frying pan
Catering,Cookware,Pan,Pan
Catering,Cookware,Saucepan,Saucepan
Catering,Cookware,Oven dish,Oven dish
Catering,Catering equipment,Kitchen equipment,Dishwasher and dishwashing sink accessories
Catering,Catering equipment,Kitchen equipment,Dishwasher and washing up
Catering,Catering equipment,Kitchen furniture,Kitchen trolley
Catering,Catering equipment,Kitchen furniture,Kitchen furniture
Catering,Catering equipment,Kitchen furniture,Transport isotherme
Catering,Catering equipment,Mobilier de restauration et de terrasse,Mobilier de restauration et de terrasse
Catering,Catering equipment,Mobilier de restauration et de terrasse,Chaise et tabouret de restaurant
Catering,Catering equipment,Mobilier de restauration et de terrasse,"Table, guéridon et mange-debout"
Catering,Oven and cooking appliance,Egg and pasta cooker,Egg and pasta cooker
Catering,Oven and cooking appliance,Cooker and hob,Cooker
Catering,Oven and cooking appliance,Cooker and hob,Range cooker
Catering,Oven and cooking appliance,Cooker and hob,Portable stove
Catering,Oven and cooking appliance,Cooker and hob,Hob
Catering,Oven and cooking appliance,Oven and microwave,Oven
Catering,Oven and cooking appliance,Oven and microwave,Microwave
Catering,Oven and cooking appliance,Cooker hood and filter unit,Cooker hood and filter unit
Catering,Oven and cooking appliance,Hot plates,Hot plates
Catering,Oven and cooking appliance,"Rotisserie, grill and griddle","Rotisserie, grill and griddle"
Catering,Oven and cooking appliance,"Rotisserie, grill and griddle",Grill and accessories
Catering,Oven and cooking appliance,"Rotisserie, grill and griddle",Roasting pan
Catering,Oven and cooking appliance,Frying plate,Frying plate
Catering,Oven and cooking appliance,BBQ and accessories,BBQ
Catering,Oven and cooking appliance,BBQ and accessories,BBQ utensil and dust cover
Catering,Oven and cooking appliance,BBQ and accessories,BBQ fuel
Catering,Oven and cooking appliance,BBQ and accessories,BBQ cleaning product
Catering,Oven and cooking appliance,Raclette and fondue,Raclette and fondue
Catering,Baking Utensils,Measuring Scoops,Measuring Scoops
Catering,Baking Utensils,"Grill, mould and cooking accessories","Grill, mould and cooking accessories"
Catering,Baking Utensils,Pastry and chocolate utensil,Pastry and chocolate utensil
Catering,Baking Utensils,Baking utensil,Baking utensil
Catering,Baking Utensils,Food decoration,Food decoration
Catering,Event catering machine,Hot dog machine,Hot dog machine
Catering,Event catering machine,Crepe maker,Crepe maker
Catering,Event catering machine,Fryer,Fryer
Catering,Event catering machine,Waffle maker,Waffle maker
Catering,Event catering machine,Glacerie,Glacerie
Catering,Event catering machine,Candyfloss machine,Candyfloss machine
Catering,Event catering machine,Popcorn machine,Popcorn machine
Catering,Small kitchen appliances,Hot drink and coffee machine,Hot drink and coffee machine
Catering,Small kitchen appliances,Teapot,Teapot
Catering,Small kitchen appliances,Blender and juicer,Blender and juicer
Catering,Small kitchen appliances,Ice cube and ice cream maker,Ice cube and ice cream maker
Catering,Small kitchen appliances,Food processor,Food processor
Catering,Small kitchen appliances,Food processor,Robot ménager
Catering,Small kitchen appliances,Toaster and salamander grill,Grille-pain
Catering,Small kitchen appliances,Toaster and salamander grill,Salamandre
Catering,Small kitchen appliances,Toaster and salamander grill,Toaster
Catering,Small kitchen appliances,Scales and thermometer,Scales and thermometer
Catering,Small kitchen appliances,Kettle and thermos jug,Kettle and thermos jug
Catering,Chopping and cooking preparation,Food Film,Food Film
Catering,Chopping and cooking preparation,Food tray and container,Food tray and container
