Country/Region,Material Class,Material Type,Process,Source,Process Description,Detailed Explanation,Assumed Product Weight (kg),Rationale for Assumed Product Weight,Source / Reference,EF (kgCO2) per 1 kg,Calculation Summary,Calculated Energy per kg (kWh/kg),Notes,Source,,
Italy,Plastic,Polypropylene (PP),Whole process,EPD,Whole process of manufacturing PP armchair is considered,Core module related enrgy consumption from an EPD is referred (6.6+175MJ) (CORE PRODUCTION),4.701,Total material weight of the product,EPD TRILL ARMCHAIR (Plastic) 2022/04/12  - 2027/04/11.pdf,Keep out of backend updates,((23)*0.277777778)/4.702,1.36,"MJ to kWh conversion is Performed and per kg kWh value is derieved
 Non-renewable energy considered in this exercise",EPD (The International EPD),,
China,Plastic,Polypropylene (PP),Whole process,EPD,,,,,,1.136,,,,,,
Vietnam,Plastic,Polypropylene (PP),Whole process,EPD,,,,,,0.856,,,,,,
Global,Plastic,Polypropylene (PP),Whole process,EPD,,,,,,0.921,,,,,,
Czech Republic,Plastic,Polypropylene (PP),Whole process,EPD,,,,,,0.900,,,,,,
France,Plastic,Polypropylene (PP),Whole process,EPD,,,,,,0.105,,,,,,
Netherlands,Plastic,Polypropylene (PP),Whole process,EPD,,,,,,0.602,,,,,,
Poland,Plastic,Polypropylene (PP),Whole process,EPD,,,,,,1.306,,,,,,
Spain,Plastic,Polypropylene (PP),Whole process,EPD,,,,,,0.275,,,,,,
Taiwan,Plastic,Polypropylene (PP),Whole process,EPD,,,,,,1.048,,,,,,
United States ,Plastic,Polypropylene (PP),Whole process,EPD,,,,,,0.656,,,,,,
India,Plastic,Polypropylene (PP),Whole process,EPD,,,,,,1.955,,,,,,
United Kingdom,Plastic,Polypropylene (PP),Whole process,EPD,,,,,,0.381,,,,,,
Rest-of-World,Plastic,Polypropylene (PP),Whole process,EPD,,,,,,1.400,,,,,,
Rest-of-World (RoW),Plastic,Acrylonitrile Butadiene Styrene (ABS),Injection Moulding,Ecoinvent V 3.11,This is delivering the service of 'injection moulding'.,"Injection moulding is the most important process for producing moldings from thermoplastics, elastomers, and thermosets. Injection molding is a discontinuous process in which plastic pellets, granules or powder is melted and injected under pressure into the cavity of a mold, where it is solidified by cooling or thermally cross-linked.",1,Total material weight of the product,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/1315/documentation,1.420,,,Ecoinvent,Ecoinvent V 3.11,,
Rest-of-World (RoW),Plastic,Polyvinyl Chloride (PVC),Injection Moulding,Ecoinvent V 3.11,This is delivering the service of 'injection moulding'.,"Injection moulding is the most important process for producing moldings from thermoplastics, elastomers, and thermosets. Injection molding is a discontinuous process in which plastic pellets, granules or powder is melted and injected under pressure into the cavity of a mold, where it is solidified by cooling or thermally cross-linked.",1,Total material weight of the product,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/1315/documentation,1.420,,,Ecoinvent,Ecoinvent V 3.11,,
Rest-of-World (RoW),Plastic,Polycarbonate (PC),Injection Moulding,Ecoinvent V 3.11,This is delivering the service of 'injection moulding'.,"Injection moulding is the most important process for producing moldings from thermoplastics, elastomers, and thermosets. Injection molding is a discontinuous process in which plastic pellets, granules or powder is melted and injected under pressure into the cavity of a mold, where it is solidified by cooling or thermally cross-linked.",1,Total material weight of the product,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/1315/documentation,1.420,,,Ecoinvent,Ecoinvent V 3.11,,
Rest-of-World (RoW),Plastic,High-Density Polyethylene (HDPE),Injection Moulding,Ecoinvent V 3.11,This is delivering the service of 'injection moulding'.,"Injection moulding is the most important process for producing moldings from thermoplastics, elastomers, and thermosets. Injection molding is a discontinuous process in which plastic pellets, granules or powder is melted and injected under pressure into the cavity of a mold, where it is solidified by cooling or thermally cross-linked.",1,Total material weight of the product,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/1315/documentation,1.420,,,Ecoinvent,Ecoinvent V 3.11,,
,Plastic,Polyurethane (PU),Whole process (proxy),EPD,Whole process of manufacturing PP armchair is considered,Core module related enrgy consumption from an EPD is referred (6.6+175MJ) (CORE PRODUCTION),4.701,Total material weight of the product,EPD TRILL ARMCHAIR (Plastic) 2022/04/12  - 2027/04/11.pdf,Keep out of backend updates,((23)*0.277777778)/4.702,1.36,"MJ to kWh conversion is Performed and per kg kWh value is derieved
 Non-renewable energy considered in this exercise",EPD (The International EPD),,
China,Plastic,Polyurethane (PU),Whole process (proxy),EPD,Whole process of manufacturing PP armchair is considered,,,,,1.136,,,,,,
Vietnam,Plastic,Polyurethane (PU),Whole process (proxy),EPD,Whole process of manufacturing PP armchair is considered,,,,,0.856,,,,,,
Global,Plastic,Polyurethane (PU),Whole process (proxy),EPD,Whole process of manufacturing PP armchair is considered,,,,,0.921,,,,,,
Czech Republic,Plastic,Polyurethane (PU),Whole process (proxy),EPD,Whole process of manufacturing PP armchair is considered,,,,,0.900,,,,,,
France,Plastic,Polyurethane (PU),Whole process (proxy),EPD,Whole process of manufacturing PP armchair is considered,,,,,0.105,,,,,,
Netherlands,Plastic,Polyurethane (PU),Whole process (proxy),EPD,Whole process of manufacturing PP armchair is considered,,,,,0.602,,,,,,
Poland,Plastic,Polyurethane (PU),Whole process (proxy),EPD,Whole process of manufacturing PP armchair is considered,,,,,1.306,,,,,,
Spain,Plastic,Polyurethane (PU),Whole process (proxy),EPD,Whole process of manufacturing PP armchair is considered,,,,,0.275,,,,,,
Taiwan,Plastic,Polyurethane (PU),Whole process (proxy),EPD,Whole process of manufacturing PP armchair is considered,,,,,1.048,,,,,,
United States ,Plastic,Polyurethane (PU),Whole process (proxy),EPD,Whole process of manufacturing PP armchair is considered,,,,,0.656,,,,,,
India,Plastic,Polyurethane (PU),Whole process (proxy),EPD,Whole process of manufacturing PP armchair is considered,,,,,1.955,,,,,,
United Kingdom,Plastic,Polyurethane (PU),Whole process (proxy),EPD,Whole process of manufacturing PP armchair is considered,,,,,0.381,,,,,,
Rest-of-World,Plastic,Polyurethane (PU),Whole process (proxy),EPD,Whole process of manufacturing PP armchair is considered,,,,,1.400,,,,,,
Rest-of-World (RoW),Plastic,Acrylic (PMMA),Injection Moulding,Ecoinvent V 3.11,This is delivering the service of 'injection moulding'.,"Injection moulding is the most important process for producing moldings from thermoplastics, elastomers, and thermosets. Injection molding is a discontinuous process in which plastic pellets, granules or powder is melted and injected under pressure into the cavity of a mold, where it is solidified by cooling or thermally cross-linked.",1,Total material weight of the product,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/1315/documentation,1.420,,,Ecoinvent,Ecoinvent V 3.11,,
Rest-of-World (RoW),Plastic,Nylon (Polyamide),Injection Moulding,Ecoinvent V 3.11,This is delivering the service of 'injection moulding'.,"Injection moulding is the most important process for producing moldings from thermoplastics, elastomers, and thermosets. Injection molding is a discontinuous process in which plastic pellets, granules or powder is melted and injected under pressure into the cavity of a mold, where it is solidified by cooling or thermally cross-linked.",1,Total material weight of the product,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/1315/documentation,1.420,,,Ecoinvent,Ecoinvent V 3.11,,
Rest-of-World (RoW),Plastic,Polyethylene Terephthalate (PET),Stretch Blow Moulding,Ecoinvent V 3.11,This is delivering the service of 'stretch blow moulding'.,"The dataset activity ""stretch blow moulding"" is a plastic manufacturing process commonly used to produce plastic bottles and containers.",7,Total material weight of the product,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/3/documentation,7.941,,,Ecoinvent,Ecoinvent V 3.11,,
Rest-of-World (RoW),Plastic,Expanded Polystyrene (EPS),Injection Moulding,Ecoinvent V 3.11,This is delivering the service of 'injection moulding'.,"Injection moulding is the most important process for producing moldings from thermoplastics, elastomers, and thermosets. Injection molding is a discontinuous process in which plastic pellets, granules or powder is melted and injected under pressure into the cavity of a mold, where it is solidified by cooling or thermally cross-linked.",1,Total material weight of the product,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/1315/documentation,1.420,,,Ecoinvent,Ecoinvent V 3.11,,
Rest-of-World (RoW),Plastic,Low-Density Polyethylene (LDPE),Injection Moulding,Ecoinvent V 3.11,This is delivering the service of 'injection moulding'.,"Injection moulding is the most important process for producing moldings from thermoplastics, elastomers, and thermosets. Injection molding is a discontinuous process in which plastic pellets, granules or powder is melted and injected under pressure into the cavity of a mold, where it is solidified by cooling or thermally cross-linked.",1,Total material weight of the product,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/1315/documentation,1.420,,,Ecoinvent,Ecoinvent V 3.11,,
Rest-of-World (RoW),Plastic,Melamine-Formaldehyde (MF),Injection Moulding,Ecoinvent V 3.11,This is delivering the service of 'injection moulding'.,"Injection moulding is the most important process for producing moldings from thermoplastics, elastomers, and thermosets. Injection molding is a discontinuous process in which plastic pellets, granules or powder is melted and injected under pressure into the cavity of a mold, where it is solidified by cooling or thermally cross-linked.",1,Total material weight of the product,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/1315/documentation,1.420,,,Ecoinvent,Ecoinvent V 3.11,,
Rest-of-World (RoW),Plastic,Polyvinyl Butyral (PVB),Injection Moulding,Ecoinvent V 3.11,This is delivering the service of 'injection moulding'.,"Injection moulding is the most important process for producing moldings from thermoplastics, elastomers, and thermosets. Injection molding is a discontinuous process in which plastic pellets, granules or powder is melted and injected under pressure into the cavity of a mold, where it is solidified by cooling or thermally cross-linked.",1,Total material weight of the product,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/1315/documentation,1.420,,,Ecoinvent,Ecoinvent V 3.11,,
Rest-of-World (RoW),Plastic,Thermoplastic Elastomers (TPE),Injection Moulding,Ecoinvent V 3.11,This is delivering the service of 'injection moulding'.,"Injection moulding is the most important process for producing moldings from thermoplastics, elastomers, and thermosets. Injection molding is a discontinuous process in which plastic pellets, granules or powder is melted and injected under pressure into the cavity of a mold, where it is solidified by cooling or thermally cross-linked.",1,Total material weight of the product,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/1315/documentation,1.420,,,Ecoinvent,Ecoinvent V 3.11,,
Switzerland (CH),Stone,Marble,"natural stone plate production, polished",Ecoinvent V 3.11,"natural stone plate production, polished-per 1 kg","The product ""natural stone plate, polished"" represents a polished granite plate. For the polishing process it has been assumed that about 0.05 mm on each side of the plate is emitted as dust.",1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/6831/documentation,0.804,,,Ecoinvent,Ecoinvent V 3.11,,
Rest-of-World (RoW),Stone,Marble,"natural stone plate production, polished",Ecoinvent V 3.11,"natural stone plate production, polished-per 1 kg","The product ""natural stone plate, polished"" represents a polished granite plate. For the polishing process it has been assumed that about 0.05 mm on each side of the plate is emitted as dust.",1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/8037/documentation,0.965,,,Ecoinvent,Ecoinvent V 3.11,,
Switzerland (CH),Stone,Granite,"natural stone plate production, polished",Ecoinvent V 3.11,"natural stone plate production, polished-per 1 kg","The product ""natural stone plate, polished"" represents a polished granite plate. For the polishing process it has been assumed that about 0.05 mm on each side of the plate is emitted as dust.",1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/6831/documentation,0.804,,,Ecoinvent,Ecoinvent V 3.11,,
Rest-of-World (RoW),Stone,Granite,"natural stone plate production, polished",Ecoinvent V 3.11,"natural stone plate production, polished-per 1 kg","The product ""natural stone plate, polished"" represents a polished granite plate. For the polishing process it has been assumed that about 0.05 mm on each side of the plate is emitted as dust.",1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/8037/documentation,0.965,,,Ecoinvent,Ecoinvent V 3.11,,
Switzerland (CH),Stone,Quartz,"natural stone plate production, polished",Ecoinvent V 3.11,"natural stone plate production, polished-per 1 kg","The product ""natural stone plate, polished"" represents a polished granite plate. For the polishing process it has been assumed that about 0.05 mm on each side of the plate is emitted as dust.",1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/6831/documentation,0.804,,,Ecoinvent,Ecoinvent V 3.11,,
Rest-of-World (RoW),Stone,Quartz,"natural stone plate production, polished",Ecoinvent V 3.11,"natural stone plate production, polished-per 1 kg","The product ""natural stone plate, polished"" represents a polished granite plate. For the polishing process it has been assumed that about 0.05 mm on each side of the plate is emitted as dust.",1,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/8037/documentation,0.965,,,Ecoinvent,Ecoinvent V 3.11,,
